ID,Latitude,Longitude,Nama_warung,Alamat,Halal,Area_merokok,Harga,Tempat_parkir,Masakan,Makanan,Jenis_warung,Makan_ditempat,Rating,Review,Gambar,kriteria
279,-7.796879,110.38161090000001,"Ayam Kremes ""Mbak Wiwin""","Jalan gayam (masjid noor islam masuk keutara 50m Semaki kulon uh 1 no 326, Semaki, Kec. Umbulharjo, Kota Yogyakarta",halal,Tidak,Menengah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Cuma Takeaway,4.7,25,AF1QipM3IXVzi8RRJTGSnK8NK5wPa7vBbnjcHNuxAF06=s483-k-no,halal Tidak Menengah on_street_parking
280,-7.809435799999999,110.33870459999999,Ayam Kremes MARINYABE,"Jl. Ambarbinangun No.1A, Sanggrahan, Ngestiharjo, Kec. Kasihan, Bantul",halal,Ada,Murah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Dine-in/Takeaway,4.6,81,AF1QipPrVwkGmr1Z3b19ilpNpVGwDR5lpp7D6IAGdxuY=s635-k-no,halal Ada Murah on_street_parking
281,-7.7932483999999995,110.36997450000001,Ayam Kremes Bu Mimin,"Tegal Panggung, Kec. Danurejan, Kota Yogyakarta",halal,Tidak,Murah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Cuma Takeaway,4.7,16,AF1QipMIW-s8tWLrD1TfX6UIjYhD6A1Zob5qfyhVPenc=s563-k-no,halal Tidak Murah on_street_parking
282,-7.739387599999999,110.43433629999998,Ayam Kremes Dan Sop Ayam Pak Diro,"Jl. Raya Tajem, Dero, Wedomartani, Yogyakarta, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Indonesia,Yogyakarta","Sop,Ayam Keremes",Quick Bites,Dine-in/Takeaway,4.6,59,AF1QipMSDS8Y8JOi5JCwJIWCvXpg7ghV4O2kpfSzq8YX=s644-k-no,halal Ada Murah on_street_parking
283,-7.812702000000001,110.36173529999999,Ayam Kremes Pak Geng,"Jl. Patehan Tengah No.8, Patehan, Kecamatan Kraton, Kota Yogyakarta",halal,Ada,Murah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,"Quick Bites,Street Food",Dine-in/Takeaway,4.4,42,AF1QipNZ3GXKDa3x14hwpVoaGhRGrXqMeIWVVILHFQwM=s594-k-no,halal Ada Murah on_street_parking
284,-7.820355,110.38829150000001,Ayam Kremes Mbak Ria,"Jl. Pramuka No.44, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta",halal,Ada,Menengah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Dine-in/Takeaway,4.5,42,AF1QipPd45DZG_D51vM_yH6NLpkB2Zfrn3GYj57W-WxX=s508-k-no,halal Ada Menengah on_street_parking
285,-7.7044605,110.41251899999999,Ayam kremes 88 jogjakarta,"Jalan Kaliurang KM. 12,5 Candikarang, Candi Karang, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman",halal,Ada,Menengah,off_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Dine-in/Takeaway,4.4,351,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/bf1be910-5335-41c0-9626-dc68ee1d9,halal Ada Menengah off_street_parking
286,-7.7632345,110.3734659,Ayam Goreng Ninit,"Jl. Pogung Kidul No.4, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Indonesia,Yogyakarta","Penyetan Ayam,Ayam Keremes",Quick Bites,Dine-in/Takeaway,4.5,760,AF1QipMr6fvayw-XLz1X3S8yN6UBzbXT6WeH0wNvwbaW=s423-k-no,halal Ada Murah on_street_parking
287,-7.769970900000001,110.4097509,Ayam Goreng Tulang Lunak Mbak Titik Solo cabang Seturan Yogya,"Jalan villa indah c1, Jl. Seturan, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Menengah,off_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Dine-in/Takeaway,4.2,86,AF1QipOVu0aDWN5I1_Y9TZUOeXzxUM3HNLfGyWZ07Mb0=s644-k-no,halal Ada Menengah off_street_parking
288,-7.7506216,110.4486789,"Bebek Goreng Kremes ""Pak Nao""","Jl. Purwomartani, Bromonilan, Purwomartani, Kec. Kalasan, Kabupaten Sleman",halal,Ada,Menengah,off_street_parking,"Indonesia,Yogyakarta","Bebek,Ayam Keremes",Quick Bites,Dine-in/Takeaway,4.7,63,AF1QipMwO8lwsVSREs8RLhngqBYj3PlSx_gJZ7qy0LsZ=s617-k-no,halal Ada Menengah off_street_parking
289,-7.8220851,110.3679483,Keraton Ayam dan Bebek Kremes,"Jl. Prawirotaman Jl. Parangtritis No.125A, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta",halal,Ada,Menengah,on_street_parking,"Indonesia,Yogyakarta","Bebek,Ayam Keremes","Restoran kasual,Quick Bites",Dine-in/Takeaway,4.2,161,AF1QipOGJjr3LNaS_QMxJ4gwM4aWwaOLmKc4lfJJQxU2=s423-k-no,halal Ada Menengah on_street_parking
290,-7.762193700000001,110.4755632,Ayam Goreng Kremes Utami,"Jl. Raya Solo - Yogyakarta, Bendan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman",halal,Tidak,Menengah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.6,54,AF1QipNYQ1MmTcHIruCXb69Idw72gbojYjQdbx1LKJK5=s563-k-no,halal Tidak Menengah on_street_parking
291,-7.8266224,110.40423020000001,Ayam kremes mbak yani kota gede 4,"Purbayan, Kec. Kotagede, Kota Yogyakarta",halal,Tidak,Murah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Cuma Takeaway,4.9,44,AF1QipPEfZzbj89msBus7IiAXaE_m4uVBn3F-_MqlLby=s627-k-no,halal Tidak Murah on_street_parking
292,-7.7328315000000005,110.41337620000002,KREMESAN BANG JO,"Jl. Raya Bakungan, Bakungan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Dine-in/Takeaway,4.6,17,AF1QipPzQDDpe2Pi0VRn8cPxBVfQi4EC6hIRWykyLTCl=s635-k-no,halal Ada Murah on_street_parking
293,-7.7554701,110.39042649999999,Lesehan Selaras Goreng Kremes dan Bakar,"Jl. Gondang Raya No.4C, RW.2, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Indonesia,Yogyakarta",Ayam Keremes,Quick Bites,Dine-in/Takeaway,4.7,182,AF1QipNTwZLcL8GR_HYaep69d4Wx_J55qzHNqFxXTYcU=s846-k-no,halal Ada Murah on_street_parking
294,-7.7746576,110.4089395,Ayam Goreng Seturan,"Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Menengah,off_street_parking,"Indonesia,Yogyakarta","Bebek,Penyetan Ayam,Ayam Keremes","Restoran kasual,Quick Bites",Dine-in/Takeaway,4.7,63,AF1QipPKo6-6ctbH9Lv0EzFJeX2aaBBvqKvPQ3rfM_Sn=s746-k-no,halal Ada Menengah off_street_parking
295,-7.757974400000001,110.39824250000001,Warung Makan Ika (Special Hot Plate),"Jl. Ring Road Utara No.73, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman",halal,Ada,Menengah,on_street_parking,"Chinese,Indonesia,Asia,Fusion","Ayam,Seafood,Hot Plate",Quick Bites,Dine-in/Takeaway,4.2,934,AF1QipP44kT7RAo0HuB_9_j3X8B2alGcvaXWxwS4Gx9i=s554-k-no,halal Ada Menengah on_street_parking
296,-7.7594629,110.39830490000001,Seafood & Hot Plate Pak Harto / Ika,"Jl. Ring Road Utara, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Chinese,Indonesia,Asia,Fusion","Seafood,Hot Plate",Quick Bites,Dine-in/Takeaway,4.0,173,AF1QipMiafOj-rCvCcWaUv2KxHrhmCV17XzKyxJLyHQ4=s846-k-no,halal Ada Murah on_street_parking
297,-7.7309716,110.38382630000001,Berkah Hot Plate,"Jl. Damai No.89, Wonorejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman",halal,Ada,Menengah,on_street_parking,"Chinese,Indonesia,Asia,Fusion","Seafood,Hot Plate",Quick Bites,Dine-in/Takeaway,4.6,71,AF1QipPrVI5UpBOpiF0ZhBFQvytJ9DyPEXijZeXM0CCG=s563-k-no,halal Ada Menengah on_street_parking
298,-7.7629808,110.3618453,Hot Plate Jamal,"Jl. Magelang No.KM. 5,8, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman",halal,Ada,Mahal,on_street_parking,"Chinese,Indonesia,Asia","Ayam,Ikan,Seafood,Daging,Hot Plate",Quick Bites,Dine-in/Takeaway,4.5,340,AF1QipMNmWmeBLTZUcVrlzgvAaFXzqXJPAJwvGpTRU-Q=s483-k-no,halal Ada Mahal on_street_parking
299,-7.752860000000001,110.37065390000001,Steak Mie Ayam Hot Plate,"Jl. Monjali No.15, RT.02/RW.21, Nandan, Sinduadi, Kec. Mlati, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Indonesia,Fusion","Mie Ayam,Hot Plate",Quick Bites,Dine-in/Takeaway,4.7,94,AF1QipMIfZ7Etzr8OnNCbNdWYotf0UwJdn9u7kEGBNU=s483-k-no,halal Ada Murah on_street_parking
